sinno_id,innovation_type
10019001,999
10025001,501
10030001,999
10042001,206
10052001,161
10052001,104
10052001,103
10086001,999
10107001,999
10123001,999
10124001,999
10128001,999
10137001,161
10137001,206
10145001,206
10145001,110
10148001,501
10153001,501
10161001,207
10187001,309
10189001,207
10190001,999
10214001,601
10223001,501
10224001,999
10232001,309
10280001,213
10280001,501
10280001,207
10280001,211
10280001,206
10280001,203
10294001,162
10294001,104
10294001,602
10307001,203
10307001,101
10307001,213
10307001,161
10349001,309
10349001,401
10349001,206
10349001,107
10360001,106
10360001,000
10374001,103
10374001,204
10374001,602
10390001,999
10391001,501
10396001,161
10397001,501
10408001,106
10408001,309
10420001,602
10420001,601
10420001,113
10420001,207
10420001,162
10453001,161
10466001,999
10506001,213
10513001,212
10524001,212
10526001,212
10544001,161
10550001,201
10550001,103
10564001,601
10574001,203
10574001,212
10574001,207
10579001,212
10598001,999
10613001,999
10621001,103
10621001,110
10621001,211
10629001,212
10629001,206
10630001,110
10630001,206
10630001,211
10642001,501
10642001,203
10643001,206
10643001,501
10655001,106
10660001,602
10660001,601
10667001,103
10667001,203
10667001,501
10667001,212
10667001,211
10669001,206
10669001,162
10680001,501
10680001,203
10680001,602
10680001,601
10680001,106
10680001,403
10680001,304
10681001,230
10681001,206
10681001,211
10682001,999
10695001,999
10698001,106
10701001,601
10701001,161
10703001,999
10828001,203
10828001,211
10855001,999
10857001,203
10857001,207
10857001,103
10857001,601
10857001,602
10857001,162
10867001,203
10872001,999
10874001,103
10874001,602
10874001,601
10878001,207
10881001,203
10881001,103
10897001,161
10909001,601
10909001,602
10922001,602
10924001,203
10924001,103
10925001,203
10925001,206
10927001,999
10937001,999
10950001,501
10961001,162
10961001,203
10974001,114
10974001,207
10974001,107
10979001,999
11008001,103
11008001,602
11012001,103
11012001,203
11012001,201
11014001,211
11014001,113
11026001,000
11028001,999
11037001,105
11037001,201
11037001,207
11082001,203
11098001,162
11098001,501
11106001,162
11107001,103
11107001,602
11107001,207
11142001,402
11142001,101
11142001,161
11142001,114
11307001,213
11335001,999
11339001,999
11340001,213
11341001,999
11347001,204
11347001,103
11351001,602
11351001,105
11351001,103
11351001,104
11352001,602
11352001,601
11352001,501
11367001,602
11367001,601
11367001,103
11368001,213
11368001,501
11368001,601
11382001,602
11382001,601
11386001,601
11386001,203
11449001,601
11449001,602
11449001,103
11449001,211
11468001,501
11475001,213
11475001,601
11527001,101
11527001,201
11527001,105
11543001,602
11546001,206
11546001,107
11559001,103
11559001,204
11568001,999
11581001,999
11595001,213
11595001,113
11595001,203
11617001,999
11632001,999
11634001,999
11646001,212
11646001,211
11646001,602
11646001,103
11655001,999
11676001,114
11676001,101
11699001,114
11722001,212
11722001,206
11730001,999
11745001,206
11745001,114
11745001,161
11748001,211
11748001,103
11749001,114
11749001,402
11750001,999
11907001,110
11937001,999
11952001,203
11997001,501
12016001,110
12016001,101
12020001,101
12020001,110
12020001,206
12020001,211
12026001,114
12026001,101
12026001,203
12048001,213
12070001,204
12079001,999
12134001,999
12151001,999
12221001,103
12221001,206
12228001,501
12228001,601
12228001,203
12235001,203
12235001,103
12254001,601
12322001,114
12322001,101
12322001,107
12335001,107
12335001,501
12335001,114
12363001,203
12367001,107
12367001,501
12393001,501
12416001,207
12416001,211
12416001,103
12416001,204
12419001,213
12424001,402
12424001,107
12425001,602
12425001,601
12425001,501
12425001,204
12425001,203
12430001,103
12430001,203
12454001,162
12463001,999
12466001,999
12476001,114
12476001,101
12518001,601
12565001,501
12691001,602
12691001,601
12769001,999
12776001,203
12776001,602
12776001,601
12777001,602
12777001,601
12784001,501
12784001,161
12801001,999
12813001,203
12813001,211
12927001,107
12933001,162
12946001,206
12966001,602
12966001,601
13014001,999
13016001,601
13016001,501
13017001,999
13032001,203
13032001,309
13041001,999
13069001,206
13069001,203
13069001,104
13089001,161
13091001,999
13121001,203
13121001,201
13122001,203
13122001,201
13202001,999
13223001,999
13291001,999
13303001,107
13303001,206
13303001,204
13303001,201
13303001,202
13303001,203
13303001,101
13311001,101
13313001,601
13313001,112
13347001,999
13355001,999
13357001,999
13367001,999
13373001,206
13373001,203
13373001,202
13373001,201
13398001,501
13410001,501
13410001,203
13410001,204
13415001,999
13518001,999
13528001,501
13545001,201
13545001,207
13545001,101
13557001,102
13557001,701
13633001,203
13633001,161
13705001,999
13706001,102
13706001,213
13731001,103
13746001,999
13748001,206
13748001,110
13780001,102
13780001,114
13780001,110
13780001,107
13780001,206
13783001,501
13791001,212
13791001,207
13791001,206
13791001,102
13795001,204
13834001,999
13836001,202
13836001,201
13844001,501
13853001,601
13859001,203
13885001,601
13885001,601
13890001,114
13890001,101
13890001,107
13925001,999
13942001,501
13981001,999
13997001,601
14003001,207
14003001,107
14003001,102
14003001,211
14003001,110
14576001,999
14577001,213
14589001,601
14589001,602
14589001,162
14612001,114
14617001,999
14636001,501
14636001,101
14636001,105
14636001,204
14677001,601
14677001,203
14751001,101
14751001,110
14751001,162
16069001,601
16069001,309
16069001,203
16155001,999
16197001,601
16197001,602
16230001,110
16230001,101
16230001,211
16230001,206
16239001,212
16239001,206
16239001,103
16243001,999
16266001,999
16276001,114
16276001,103
16280001,211
16280001,101
16287001,162
16287001,161
16287001,104
16373001,103
16373001,206
16373001,204
5880001,999
5881001,211
5883001,104
5894001,999
5897001,999
5910001,203
5910001,104
5920001,999
5928001,999
5932001,101
5932001,104
5932001,201
5934001,105
5941001,999
5955001,201
5968001,999
5972001,202
5972001,103
5987001,162
5994001,999
6000001,999
6001001,207
6002001,213
6002001,501
6029001,999
6033001,601
6033001,602
6039001,999
6041001,999
6044001,999
6051001,999
6060001,999
6068001,000
6081001,999
6099001,602
6100001,999
6116001,203
6125001,103
6125001,204
6130001,501
6130001,213
6133001,601
6133001,602
6141001,203
6156001,602
6160001,999
6163001,601
6182001,601
6182001,602
6182001,103
6188001,999
6191001,501
6203001,602
6204001,602
6231001,601
6231001,602
6231001,501
6238001,106
6249001,602
6249001,601
6252001,203
6281001,999
6290001,203
6290001,213
6290001,501
6297001,999
6301001,213
6302001,999
6325001,106
6329001,999
6341001,999
6348001,999
6349001,602
6360001,103
6369001,601
6369001,501
6387001,999
6392001,999
6397001,501
6397001,602
6400001,501
6404001,602
6425001,602
6425001,106
6425001,000
6431001,601
6431001,207
6431001,203
6431001,212
6431001,211
6431001,501
6432001,602
6432001,501
6544001,304
6550001,999
6562001,602
6583001,602
6685001,999
6689001,999
6695001,999
6700001,999
6714001,999
6740001,999
6759001,999
6760001,106
6763001,999
6768001,106
6774001,602
6787001,999
6788001,999
6795001,999
6801001,602
6801001,601
6814001,602
6819001,999
6822001,203
6822001,602
6824001,999
6826001,999
6837001,000
6837001,106
6841001,999
6842001,103
6842001,204
6851001,999
6856001,999
6861001,105
6873001,202
6873001,206
6873001,207
6878001,206
6878001,103
6880001,999
6891001,999
6893001,212
6893001,206
6893001,103
6894001,212
6894001,207
6898001,206
6912001,203
6915001,213
6916001,103
6916001,203
6918001,201
6919001,203
6921001,999
6922001,501
6922001,000
6928001,203
6928001,202
6928001,161
6929001,203
6929001,202
6929001,161
6933001,701
6933001,112
6938001,212
6940001,206
6940001,212
6942001,701162
6943001,999
6947001,103
6949001,206
6950001,104
6951001,103
6951001,203
6951001,201
6954001,110
6961001,103
6969001,101
6969001,206
6969001,207
6974001,602
6977001,206
6990001,501
6990001,207
6990001,201
7002001,602
7004001,999
7016001,000
7019001,207
7019001,000
7022001,000
7024001,602
7031001,107
7031001,110
7033001,108
7034001,999
7038001,201
7038001,101
7038001,212
7040001,201212213
7042001,162
7043001,106
7043001,213
7056001,211
7056001,201
7058001,207
7058001,101
7058001,110
7060001,103
7067001,111
7097001,999
7134001,999
7139001,101
7174001,602
7176001,999
7217001,203
7217001,103
7217001,101
7223001,601
7223001,602
7242001,161
7250001,000
7263001,111
7277001,999
7278001,999
7318001,999
7324001,101
7358001,999
7361001,501
7362001,161
7363001,999
7364001,161
7365001,112
7366001,161
7366001,104
7367001,162
7367001,112
7368001,101
7368001,201
7368001,207
7368001,213
7369001,999
7370001,103
7370001,204
7370001,501
7371001,204
7371001,112
7372001,999
7378001,161
7378001,204
7380001,103
7380001,201
7382001,000
7383001,999
7385001,999
7386001,601
7387001,109
7390001,162
7393001,207
7393001,213
7394001,109
7395001,162
7396001,501
7397001,501
7397001,213
7397001,161
7398001,109
7399001,000
7399001,999
7400001,501
7405001,501
7405001,213
7407001,601
7407001,103
7408001,602
7408001,103
7409001,999
7410001,999
7411001,999
7412001,304
7414001,602
7415001,101
7415001,602
7416001,501
7417001,501
7418001,999
7419001,602
7420001,602
7421001,602
7423001,103
7423001,602
7424001,103
7426001,999
7427001,999
7432001,103
7432001,211
7433001,999
7435001,999
7436001,501
7437001,501
7438001,162
7438001,602
7440001,212
7440001,206
7440001,204
7440001,213
7440001,110
7441001,110
7441001,306
7443001,112
7443001,501
7443001,213
7443001,103
7446001,110
7447001,999
7448001,999
7452001,999
7456001,602
7456001,601
7457001,162
7458001,213
7458001,103
7459001,103
7460001,999
7463001,204
7463001,103
7465001,601
7465001,103
7466001,204
7466001,103
7466001,601
7466001,602
7472001,112
7473001,602
7473001,103
7474001,103
7475001,601
7475001,602
7475001,103
7476001,113
7479001,999
7484001,501
7484001,103
7485001,113
7489001,999
7491001,601
7491001,602
7491001,103
7491001,213
7491001,207
7492001,103
7492001,204
7494001,501
7495001,501
7498001,999
7499001,204
7499001,103
7503001,501
7503001,213
7503001,211
7504001,999
7505001,103
7505001,601
7505001,602
7506001,999
7507001,602
7507001,601
7508001,203
7508001,113
7510001,601
7511001,103
7511001,204
7511001,602
7512001,999
7514001,103
7514001,204
7516001,103
7516001,161
7517001,103
7517001,204
7518001,114
7519001,113
7519001,204
7519001,601
7520001,101
7520001,103
7520001,501
7520001,212
7520001,201
7521001,601
7521001,602
7522001,161
7523001,161
7524001,999
7525001,161
7526001,204
7526001,103
7527001,999
7528001,161
7528001,103
7528001,204
7529001,602
7529001,601
7530001,999
7531001,999
7532001,999
7533001,000
7534001,207
7534001,162
7535001,161
7536001,999
7537001,101
7537001,207
7538001,213
7538001,501
7539001,501
7540001,602
7540001,601
7540001,204
7540001,103
7541001,601
7541001,602
7542001,107
7542001,114
7543001,103
7543001,204
7544001,999
7545001,101
7545001,201
7545001,207
7545001,112
7546001,101
7547001,204
7548001,309
7548001,000
7550001,161
7551001,602
7551001,161
7552001,602
7553001,103
7553001,204
7553001,112
7554001,602
7555001,999
7556001,601
7557001,601
7557001,602
7558001,601
7558001,602
7559001,602
7559001,601
7560001,309
7560001,601
7561001,101
7561001,203
7561001,207
7562001,999
7563001,999
7564001,999
7565001,501
7566001,103
7566001,601
7567001,999
7569001,101
7570001,204
7572001,103
7573001,999
7574001,162
7574001,602
7575001,999
7576001,999
7576001,000
7577001,207
7578001,999
7579001,213
7579001,204
7580001,103
7586001,206
7586001,212
7591001,206
7591001,212
7607001,501
7613001,999
7617001,162
7622001,601
7632001,999
7638001,999
7642001,212
7642001,206
7650001,203
7651001,501
7661001,999
7672001,501
7674001,206
7674001,203
7675001,101
7675001,000
7679001,206
7679001,212
7697001,000
7708001,999
7714001,101
7714001,103
7718001,999
7723001,162
7725001,501
7725001,213
7726001,213
7726001,211
7726001,501
7735001,501
7740001,999
7741001,211
7751001,501
7751001,213
7752001,999
7758001,309
7764001,161
7769001,161
7777001,213
7777001,207
7781001,999
7782001,203
7782001,204
7791001,999
7796001,601
7797001,204
7805001,103
7809001,213
7809001,501
7817001,113
7817001,601
7829001,601
7829001,309
7833001,212
7833001,207
7833001,309
7836001,212
7845001,501
7846001,103
7846001,105
7846001,309
7852001,701
7852001,207
7852001,201
7854001,103
7859001,602
7861001,206
7861001,113
7862001,161
7871001,999
7878001,501
7882001,602
7888001,211
7890001,501
7890001,213
7892001,999
7897001,999
7899001,161
7904001,203
7908001,309
7909001,103
7915001,103
7919001,999
7926001,999
7932001,161
7939001,999
7944001,999
7947001,207
7947001,501
7950001,103
7950001,203
7950001,110
7957001,602
7959001,999
7962001,501
7962001,103
7962001,203
7962001,601
7968001,103
7972001,601
7972001,104
7980001,999
7982001,501
7986001,206
7991001,103
7991001,103
7991001,110
7991001,204
7991001,110
7998001,101
7998001,103
7998001,501
7998001,213
8002001,207
8002001,103
8002001,203
8003001,5
8004001,203
8015001,103
8020001,999
8023001,602
8029001,601
8029001,602
8029001,203
8065001,212
8065001,207
8070001,999
8082001,113
8082001,211
8082001,203
8085001,162
8086001,113
8086001,501
8086001,207
8095001,113
8095001,207
8111001,000
8112001,602
8122001,103
8128001,999
8129001,601
8135001,999
8140001,999
8141001,999
8144001,103
8144001,501
8146001,601
8149001,999
8167001,999
8172001,000
8179001,203
8181001,999
8186001,203
8186001,103
8188001,999
8193001,162
8196001,999
8197001,204
8197001,207
8203001,999
8207001,601
8211001,101
8211001,113
8211001,203
8212001,999
8218001,501
8225001,999
8232001,207
8232001,204
8238001,204
8238001,000
8241001,999
8258001,999
8263001,501
8265001,304
8268001,999
8272001,203
8309001,999
8310001,501
8311001,999
8343001,601
8358001,212
8358001,211
8359001,501
8359001,162
8379001,601
8379001,103
8381001,162
8385001,999
8394001,103
8394001,113
8394001,309
8404001,999
8405001,602
8405001,601
8412001,212
8412001,207
8412001,201
8412001,206
8412001,101
8423001,203
8423001,602
8423001,601
8432001,103
8438001,999
8447001,212
8448001,203
8448001,207
8448001,211
8448001,110
8448001,103
8459001,999
8461001,999
8475001,999
8476001,501
8499001,999
8506001,101
8524001,999
8538001,101
8538001,501
8538001,201
8538001,211
8541001,206
8541001,207
8546001,203
8546001,103
8546001,101
8546001,206
8546001,501
8546001,107
8569001,602
8569001,601
8571001,999
8573001,203
8577001,999
8580001,501
8592001,203
8592001,201
8596001,207
8596001,201
8596001,101
8615001,211
8615001,213
8619001,203
8622001,501
8644001,162
8663001,101
8663001,212
8666001,110
8666001,212
8666001,206
8687001,206
8687001,501
8697001,999
8706001,501
8706001,211
8741001,701
8741001,213
8741001,207
8754001,501
8754001,213
8758001,101
8758001,105
8758001,201
8781001,999
8785001,999
8789001,201
8789001,213
8789001,701
8790001,999
8791001,501
8799001,211
8799001,213
8801001,601
8803001,999
8804001,213
8804001,104
8804001,501
8808001,203
8819001,999
8823001,501
8824001,999
8832001,203
8835001,999
8846001,104
8876001,107
8876001,207
8876001,101
8878001,162
8897001,101
8914001,501
8918001,999
8956001,103
8956001,209
8956001,102
8956001,203
8963001,999
8984001,999
8986001,107
8989001,999
9014001,201
9034001,999
9039001,111
9046001,999
9048001,201
9048001,162
9048001,103
9055001,999
9078001,501
9078001,213
9089001,999
9106001,107
9106001,203
9111001,999
9120001,212
9120001,101
9120001,109
9123001,103
9123001,203
9123001,101
9123001,201
9126001,999
9179001,103
9179001,206
9179001,309
9179001,201
9200001,161
9226001,203
9232001,203
9232001,213
9237001,162
9250001,999
9254001,000
9266001,162
9266001,204
9278001,501
9279001,206
9279001,161
9296001,999
9305001,203
9306001,161
9312001,204
9315001,999
9363001,999
9377001,207
9377001,101
9377001,103
9377001,114
9387001,999
9396001,701
9408001,999
9410001,103
9411001,999
9412001,999
9413001,103
9413001,204
9413001,206
9413001,101
9413001,110
9413001,601
9415001,103
9415001,211
9415001,206
9416001,601
9417001,501
9417001,162
9418001,102
9422001,999
9423001,501
9423001,213
9423001,161
9424001,203
9426001,999
9427001,999
9428001,161
9429001,103
9429001,161
9430001,103
9430001,203
9431001,999
9432001,601
9432001,602
9432001,207
9432001,103
9432001,203
9432001,162
9433001,110
9433001,103
9436001,103
9436001,213
9436001,211
9438001,000
9440001,999
9443001,103
9443001,204
9444001,999
9446001,207
9446001,501
9448001,201
9448001,101
9448001,105
9451001,103
9453001,203
9453001,204
9453001,103
9454001,203
9454001,103
9455001,601
9455001,204
9456001,203
9456001,161
9458001,701
9458001,162
9459001,212
9459001,103
9459001,601
9460001,103
9461001,601
9461001,602
9462001,701
9464001,999
9465001,601
9465001,602
9468001,601
9468001,602
9470001,103
9470001,501
9471001,601
9471001,602
9471001,212
9471001,204
9471001,103
9471001,206
9472001,103
9473001,103
9473001,601
9473001,602
9473001,510
9473001,213
9475001,161
9475001,602
9475001,601
9476001,213
9477001,999
9478001,999
9479001,203
9480001,204
9480001,212
9480001,207
9481001,103
9482001,309
9482001,000
9483001,203
9485001,999
9490001,999
9492001,206
9492001,212
9493001,602
9494001,602
9495001,601
9495001,602
9495001,103
9495001,201
9497001,206
9497001,212
9499001,601
9500001,601
9501001,601
9502001,999
9503001,161
9505001,212
9506001,103
9506001,601
9506001,602
9506001,204
9507001,103
9507001,104
9508001,107
9508001,104
9508001,101
9509001,602
9510001,602
9510001,601
9510001,103
9513001,101
9513001,201
9513001,501
9514001,162
9516001,602
9516001,601
9518001,206
9518001,501
9518001,207
9518001,203
9518001,103
9519001,999
9520001,203
9520001,213
9520001,501
9520001,161
9521001,999
9523001,103
9523001,201
9523001,212
9524001,103
9524001,204
9525001,103
9525001,204
9526001,602
9526001,601
9527001,602
9527001,601
9527001,203
9528001,999
9530001,101
9530001,701
9531001,204
9531001,206
9531001,309
9532001,203
9532001,201
9534001,999
9536001,212
9537001,601
9537001,602
9538001,104
9538001,161
9540001,161
9541001,601
9541001,602
9541001,203
9541001,103
9541001,204
9542001,309
9542001,402
9542001,161
9542001,162
9542001,207
9543001,999
9544001,103
9544001,307
9545001,602
9545001,601
9546001,602
9546001,601
9547001,101
9547001,110
9547001,206
9549001,103
9549001,203
9549001,601
9549001,602
9550001,207
9550001,206
9551001,602
9551001,601
9552001,000
9553001,999
9554001,162
9556001,999
9561001,999
9562001,999
9563001,999
9564001,212
9564001,201
9564001,203
9564001,206
9564001,105
9566001,601
9566001,103
9570001,999
9574001,999
9579001,103
9585001,999
9587001,000
9590001,103
9590001,204
9591001,201
9591001,202
9591001,203
9593001,999
9595001,501
9598001,161
9598001,501
9600001,161
9602001,162
9608001,999
9610001,000
9614001,602
9708001,501
9708001,162
9720001,999
9722001,999
9732001,501
9732001,309
9734001,602
9740001,999
9753001,999
9765001,501
9772001,103
9772001,204
9772001,213
9772001,501
9789001,501
9798001,501
9817001,162
9817001,309
9832001,999
9875001,999
9883001,999
9887001,203
9887001,309
9887001,206
9887001,101
9887001,103
9887001,106
9887001,211
9887001,501
9887001,401
9890001,309
9890001,207
9897001,602
9897001,162
9898001,309
9925001,107
9925001,161
9928001,999
9937001,999
9938001,213
9938001,602
9948001,999
9971001,999
9977001,999
9979001,211
9989001,212
9992001,204
5999001,999
6031001,999
6110001,110
6110001,203
6945001,203
6945001,103
7218001,999
7373001,999
7374001,999
7375001,501
7376001,602
7377001,161
7377001,213
7384001,999
7388001,999
7392001,999
7401001,112
7402001,601
7406001,602
7425001,112
7428001,602
7428001,601
7429001,112
7442001,103
7442001,602
7442001,601
7453001,207
7461001,112
7467001,601
7467001,602
7468001,601
7470001,207
7471001,601
7477001,601
7478001,112
7478001,204
7482001,999
7487001,105
7497001,213
7497001,207
7513001,203
7513001,501
7513001,213
7515001,112
7515001,162
7614001,213
7614001,501
7614001,161
7827001,999
8422001,103
8422001,204
9398001,212
9398001,206
9535001,601
9535001,602
9535001,212
9539001,207
9539001,602
10882001,207
10928001,102
10928001,207
11016001,103
11399001,206
11399001,110
11399001,202
12639001,211
12639001,206
13013001,112
16067001,601
16067001,309
